Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","5400","Europe","5131","Processing","2515","Rye and products","2013","2013","1000 tonnes","1021","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2515","Rye and products","2013","2013","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2515","Rye and products","2013","2013","1000 tonnes","4914","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2013","2013","kg","6.62","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2515","Rye and products","2013","2013","kcal/capita/day","50","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2516","Oats","2013","2013","1000 tonnes","10127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5527","Seed","2516","Oats","2013","2013","1000 tonnes","1999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5123","Losses","2516","Oats","2013","2013","1000 tonnes","313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5131","Processing","2516","Oats","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2516","Oats","2013","2013","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2516","Oats","2013","2013","1000 tonnes","1508","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2516","Oats","2013","2013","kg","2.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2516","Oats","2013","2013","kcal/capita/day","12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2517","Millet and products","2013","2013","1000 tonnes","372","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5527","Seed","2517","Millet and products","2013","2013","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5123","Losses","2517","Millet and products","2013","2013","1000 tonnes","65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2517","Millet and products","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2517","Millet and products","2013","2013","1000 tonnes","278","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2013","2013","kg","0.37","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2517","Millet and products","2013","2013","kcal/capita/day","3","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2518","Sorghum and products","2013","2013","1000 tonnes","1354","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5527","Seed","2518","Sorghum and products","2013","2013","1000 tonnes","8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5123","Losses","2518","Sorghum and products","2013","2013","1000 tonnes","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2518","Sorghum and products","2013","2013","1000 tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2518","Sorghum and products","2013","2013","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2518","Sorghum and products","2013","2013","kg","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2013","2013","kcal/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2520","Cereals, Other","2013","2013","1000 tonnes","17107","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5527","Seed","2520","Cereals, Other","2013","2013","1000 tonnes","945","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5123","Losses","2520","Cereals, Other","2013","2013","1000 tonnes","339","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5131","Processing","2520","Cereals, Other","2013","2013","1000 tonnes","22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2520","Cereals, Other","2013","2013","1000 tonnes","523","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2520","Cereals, Other","2013","2013","1000 tonnes","493","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2013","2013","kg","0.66","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2013","2013","kcal/capita/day","5","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2532","Cassava and products","2013","2013","1000 tonnes","117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5131","Processing","2532","Cassava and products","2013","2013","1000 tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2532","Cassava and products","2013","2013","1000 tonnes","128","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2532","Cassava and products","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2532","Cassava and products","2013","2013","kg","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2532","Cassava and products","2013","2013","kcal/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2531","Potatoes and products","2013","2013","1000 tonnes","20334","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5527","Seed","2531","Potatoes and products","2013","2013","1000 tonnes","17629","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5123","Losses","2531","Potatoes and products","2013","2013","1000 tonnes","7572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5131","Processing","2531","Potatoes and products","2013","2013","1000 tonnes","3499","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5154","Other uses (non-food)","2531","Potatoes and products","2013","2013","1000 tonnes","5326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5142","Food","2531","Potatoes and products","2013","2013","1000 tonnes","61295","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2013","2013","kg","82.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2013","2013","kcal/capita/day","149","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5521","Feed","2533","Sweet potatoes","2013","2013","1000 tonnes","99","A","Aggregate, may include official, semi-official, estimated or calculated data"
