Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","351","China","664","Food supply (kcal/capita/day)","2515","Rye and products","2013","2013","kcal/capita/day","1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5521","Feed","2516","Oats","2013","2013","1000 tonnes","500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5527","Seed","2516","Oats","2013","2013","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5123","Losses","2516","Oats","2013","2013","1000 tonnes","30","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5142","Food","2516","Oats","2013","2013","1000 tonnes","215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","645","Food supply quantity (kg/capita/yr)","2516","Oats","2013","2013","kg","0.15","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","664","Food supply (kcal/capita/day)","2516","Oats","2013","2013","kcal/capita/day","1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5521","Feed","2517","Millet and products","2013","2013","1000 tonnes","800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5527","Seed","2517","Millet and products","2013","2013","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5123","Losses","2517","Millet and products","2013","2013","1000 tonnes","78","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","5142","Food","2517","Millet and products","2013","2013","1000 tonnes","834","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","351","China","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2013","2013","kg","0.59","Fc","Calculated data"
