Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5000","World","5123","Losses","2533","Sweet potatoes","2017","2017","1000 tonnes","9232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2533","Sweet potatoes","2017","2017","1000 tonnes","313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2535","Yams","2017","2017","1000 tonnes","72606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2535","Yams","2017","2017","1000 tonnes","6434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2535","Yams","2017","2017","1000 tonnes","17418","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2534","Roots, Other","2017","2017","1000 tonnes","19536","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2534","Roots, Other","2017","2017","1000 tonnes","3247","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2534","Roots, Other","2017","2017","1000 tonnes","820","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2536","Sugar cane","2017","2017","1000 tonnes","1853536","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2536","Sugar cane","2017","2017","1000 tonnes","118887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2536","Sugar cane","2017","2017","1000 tonnes","336315","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2537","Sugar beet","2017","2017","1000 tonnes","315035","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2537","Sugar beet","2017","2017","1000 tonnes","10487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2537","Sugar beet","2017","2017","1000 tonnes","5386","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2541","Sugar non-centrifugal","2017","2017","1000 tonnes","10021","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2541","Sugar non-centrifugal","2017","2017","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2541","Sugar non-centrifugal","2017","2017","1000 tonnes","2883","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2542","Sugar (Raw Equivalent)","2017","2017","1000 tonnes","181605","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2542","Sugar (Raw Equivalent)","2017","2017","1000 tonnes","61","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2542","Sugar (Raw Equivalent)","2017","2017","1000 tonnes","14067","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2543","Sweeteners, Other","2017","2017","1000 tonnes","45103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2543","Sweeteners, Other","2017","2017","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2543","Sweeteners, Other","2017","2017","1000 tonnes","6452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2745","Honey","2017","2017","1000 tonnes","1872","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2745","Honey","2017","2017","1000 tonnes","109","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2745","Honey","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2546","Beans","2017","2017","1000 tonnes","30895","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2546","Beans","2017","2017","1000 tonnes","1703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2546","Beans","2017","2017","1000 tonnes","22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2547","Peas","2017","2017","1000 tonnes","16404","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2547","Peas","2017","2017","1000 tonnes","651","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2547","Peas","2017","2017","1000 tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2549","Pulses, Other and products","2017","2017","1000 tonnes","48756","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2549","Pulses, Other and products","2017","2017","1000 tonnes","2611","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2549","Pulses, Other and products","2017","2017","1000 tonnes","721","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2551","Nuts and products","2017","2017","1000 tonnes","18404","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2551","Nuts and products","2017","2017","1000 tonnes","1047","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2551","Nuts and products","2017","2017","1000 tonnes","39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2555","Soyabeans","2017","2017","1000 tonnes","355087","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2555","Soyabeans","2017","2017","1000 tonnes","4613","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2555","Soyabeans","2017","2017","1000 tonnes","3988","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2556","Groundnuts (Shelled Eq)","2017","2017","1000 tonnes","46262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2556","Groundnuts (Shelled Eq)","2017","2017","1000 tonnes","2493","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2556","Groundnuts (Shelled Eq)","2017","2017","1000 tonnes","1405","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2557","Sunflower seed","2017","2017","1000 tonnes","47710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2557","Sunflower seed","2017","2017","1000 tonnes","1360","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2557","Sunflower seed","2017","2017","1000 tonnes","1019","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2558","Rape and Mustardseed","2017","2017","1000 tonnes","76896","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2558","Rape and Mustardseed","2017","2017","1000 tonnes","2945","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2558","Rape and Mustardseed","2017","2017","1000 tonnes","317","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2559","Cottonseed","2017","2017","1000 tonnes","45404","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2559","Cottonseed","2017","2017","1000 tonnes","1115","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2559","Cottonseed","2017","2017","1000 tonnes","3096","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2560","Coconuts - Incl Copra","2017","2017","1000 tonnes","59540","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2560","Coconuts - Incl Copra","2017","2017","1000 tonnes","3603","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2560","Coconuts - Incl Copra","2017","2017","1000 tonnes","10987","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2561","Sesame seed","2017","2017","1000 tonnes","5314","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2561","Sesame seed","2017","2017","1000 tonnes","341","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2561","Sesame seed","2017","2017","1000 tonnes","96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2562","Palm kernels","2017","2017","1000 tonnes","313725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2562","Palm kernels","2017","2017","1000 tonnes","2159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2562","Palm kernels","2017","2017","1000 tonnes","749","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2563","Olives (including preserved)","2017","2017","1000 tonnes","19944","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2563","Olives (including preserved)","2017","2017","1000 tonnes","962","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2563","Olives (including preserved)","2017","2017","1000 tonnes","53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2570","Oilcrops, Other","2017","2017","1000 tonnes","16513","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2570","Oilcrops, Other","2017","2017","1000 tonnes","767","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2570","Oilcrops, Other","2017","2017","1000 tonnes","1674","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2571","Soyabean Oil","2017","2017","1000 tonnes","54010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2571","Soyabean Oil","2017","2017","1000 tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2571","Soyabean Oil","2017","2017","1000 tonnes","23479","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2572","Groundnut Oil","2017","2017","1000 tonnes","5126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2572","Groundnut Oil","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2572","Groundnut Oil","2017","2017","1000 tonnes","1057","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2573","Sunflowerseed Oil","2017","2017","1000 tonnes","18400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2573","Sunflowerseed Oil","2017","2017","1000 tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2573","Sunflowerseed Oil","2017","2017","1000 tonnes","3623","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2574","Rape and Mustard Oil","2017","2017","1000 tonnes","24902","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2574","Rape and Mustard Oil","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2574","Rape and Mustard Oil","2017","2017","1000 tonnes","12230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2575","Cottonseed Oil","2017","2017","1000 tonnes","4388","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5123","Losses","2575","Cottonseed Oil","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5154","Other uses (non-food)","2575","Cottonseed Oil","2017","2017","1000 tonnes","731","A","Aggregate, may include official, semi-official, estimated or calculated data"
