Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2515","Rye and products","2013","2013","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2516","Oats","2013","2013","1000 tonnes","16252","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2516","Oats","2013","2013","1000 tonnes","2487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2516","Oats","2013","2013","1000 tonnes","520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2516","Oats","2013","2013","1000 tonnes","36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2516","Oats","2013","2013","1000 tonnes","207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2516","Oats","2013","2013","1000 tonnes","3909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2516","Oats","2013","2013","kg","0.56","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2516","Oats","2013","2013","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2517","Millet and products","2013","2013","1000 tonnes","3311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2517","Millet and products","2013","2013","1000 tonnes","684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2517","Millet and products","2013","2013","1000 tonnes","2277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2517","Millet and products","2013","2013","1000 tonnes","402","A","Aggregate, may include official, semi-official, estimated or calculated data"
