Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5123","Losses","2517","Millet and products","2013","2013","1000 tonnes","2277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2517","Millet and products","2013","2013","1000 tonnes","23044","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2013","2013","kg","3.29","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2517","Millet and products","2013","2013","kcal/capita/day","27","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2518","Sorghum and products","2013","2013","1000 tonnes","791","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2518","Sorghum and products","2013","2013","1000 tonnes","2744","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2518","Sorghum and products","2013","2013","1000 tonnes","24151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2518","Sorghum and products","2013","2013","kg","3.45","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2013","2013","kcal/capita/day","28","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2520","Cereals, Other","2013","2013","1000 tonnes","1205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2520","Cereals, Other","2013","2013","1000 tonnes","785","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2520","Cereals, Other","2013","2013","1000 tonnes","5326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2013","2013","kg","0.76","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2013","2013","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2907","Starchy Roots","2013","2013","1000 tonnes","35125","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2907","Starchy Roots","2013","2013","1000 tonnes","82452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2907","Starchy Roots","2013","2013","1000 tonnes","443353","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2013","2013","kg","63.36","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2907","Starchy Roots","2013","2013","kcal/capita/day","141","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2532","Cassava and products","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2532","Cassava and products","2013","2013","1000 tonnes","30539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2532","Cassava and products","2013","2013","1000 tonnes","100637","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2532","Cassava and products","2013","2013","kg","14.38","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2532","Cassava and products","2013","2013","kcal/capita/day","37","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2531","Potatoes and products","2013","2013","1000 tonnes","32200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2531","Potatoes and products","2013","2013","1000 tonnes","35455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2531","Potatoes and products","2013","2013","1000 tonnes","239075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2013","2013","kg","34.17","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2013","2013","kcal/capita/day","64","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2533","Sweet potatoes","2013","2013","1000 tonnes","594","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2533","Sweet potatoes","2013","2013","1000 tonnes","6432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2533","Sweet potatoes","2013","2013","1000 tonnes","57061","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2533","Sweet potatoes","2013","2013","kg","8.15","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2533","Sweet potatoes","2013","2013","kcal/capita/day","22","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2535","Yams","2013","2013","1000 tonnes","2208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2535","Yams","2013","2013","1000 tonnes","6764","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2535","Yams","2013","2013","1000 tonnes","32512","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2535","Yams","2013","2013","kg","4.65","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2535","Yams","2013","2013","kcal/capita/day","13","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2534","Roots, Other","2013","2013","1000 tonnes","122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2534","Roots, Other","2013","2013","1000 tonnes","3262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2534","Roots, Other","2013","2013","1000 tonnes","14068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2534","Roots, Other","2013","2013","kg","2.01","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2534","Roots, Other","2013","2013","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2908","Sugar Crops","2013","2013","1000 tonnes","29361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2908","Sugar Crops","2013","2013","1000 tonnes","69969","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2908","Sugar Crops","2013","2013","1000 tonnes","32246","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2908","Sugar Crops","2013","2013","kg","4.61","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2013","2013","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2536","Sugar cane","2013","2013","1000 tonnes","29361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2536","Sugar cane","2013","2013","1000 tonnes","69428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2536","Sugar cane","2013","2013","1000 tonnes","32189","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2536","Sugar cane","2013","2013","kg","4.6","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2536","Sugar cane","2013","2013","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2537","Sugar beet","2013","2013","1000 tonnes","541","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2537","Sugar beet","2013","2013","1000 tonnes","57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2537","Sugar beet","2013","2013","kg","0.01","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2537","Sugar beet","2013","2013","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2909","Sugar & Sweeteners","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2909","Sugar & Sweeteners","2013","2013","1000 tonnes","267","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2909","Sugar & Sweeteners","2013","2013","1000 tonnes","172912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2013","2013","kg","24.71","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","2013","2013","kcal/capita/day","236","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2541","Sugar non-centrifugal","2013","2013","1000 tonnes","27","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2541","Sugar non-centrifugal","2013","2013","1000 tonnes","6777","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2541","Sugar non-centrifugal","2013","2013","kg","0.97","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2541","Sugar non-centrifugal","2013","2013","kcal/capita/day","9","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2542","Sugar (Raw Equivalent)","2013","2013","1000 tonnes","240","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2542","Sugar (Raw Equivalent)","2013","2013","1000 tonnes","143645","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2542","Sugar (Raw Equivalent)","2013","2013","kg","20.53","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2542","Sugar (Raw Equivalent)","2013","2013","kcal/capita/day","200","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2543","Sweeteners, Other","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2543","Sweeteners, Other","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2543","Sweeteners, Other","2013","2013","1000 tonnes","20821","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2543","Sweeteners, Other","2013","2013","kg","2.98","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2543","Sweeteners, Other","2013","2013","kcal/capita/day","24","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2745","Honey","2013","2013","1000 tonnes","1669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2745","Honey","2013","2013","kg","0.24","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2745","Honey","2013","2013","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2911","Pulses","2013","2013","1000 tonnes","4103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2911","Pulses","2013","2013","1000 tonnes","3607","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2911","Pulses","2013","2013","1000 tonnes","50467","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2013","2013","kg","7.21","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2911","Pulses","2013","2013","kcal/capita/day","68","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2546","Beans","2013","2013","1000 tonnes","1227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2546","Beans","2013","2013","1000 tonnes","1246","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2546","Beans","2013","2013","1000 tonnes","17416","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2546","Beans","2013","2013","kg","2.49","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2546","Beans","2013","2013","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2547","Peas","2013","2013","1000 tonnes","842","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2547","Peas","2013","2013","1000 tonnes","429","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2547","Peas","2013","2013","1000 tonnes","5833","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2547","Peas","2013","2013","kg","0.83","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2547","Peas","2013","2013","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2549","Pulses, Other and products","2013","2013","1000 tonnes","2034","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2549","Pulses, Other and products","2013","2013","1000 tonnes","1932","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2549","Pulses, Other and products","2013","2013","1000 tonnes","27217","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2549","Pulses, Other and products","2013","2013","kg","3.89","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2549","Pulses, Other and products","2013","2013","kcal/capita/day","37","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2912","Treenuts","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2912","Treenuts","2013","2013","1000 tonnes","494","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2912","Treenuts","2013","2013","1000 tonnes","16408","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2912","Treenuts","2013","2013","kg","2.34","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2912","Treenuts","2013","2013","kcal/capita/day","16","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2551","Nuts and products","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2551","Nuts and products","2013","2013","1000 tonnes","494","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2551","Nuts and products","2013","2013","1000 tonnes","16408","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2551","Nuts and products","2013","2013","kg","2.34","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2551","Nuts and products","2013","2013","kcal/capita/day","16","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2913","Oilcrops","2013","2013","1000 tonnes","11794","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2913","Oilcrops","2013","2013","1000 tonnes","13269","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2913","Oilcrops","2013","2013","1000 tonnes","51909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2913","Oilcrops","2013","2013","kg","7.42","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2913","Oilcrops","2013","2013","kcal/capita/day","60","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2555","Soyabeans","2013","2013","1000 tonnes","7404","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2555","Soyabeans","2013","2013","1000 tonnes","3974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2555","Soyabeans","2013","2013","1000 tonnes","10649","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2555","Soyabeans","2013","2013","kg","1.52","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2555","Soyabeans","2013","2013","kcal/capita/day","14","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","1298","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","1306","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","12213","A","Aggregate, may include official, semi-official, estimated or calculated data"
