,Direction,Ref,C0,Flow,Comment
0,Input,,      40,"[kg] CH: fava beans IP, at farm [Intermediate flows]",
1,Input,,     180,"[kg] Canola (rapeseed) oil, raw [Intermediate flows]",
2,Input,,      20,[kg] Corn Gluten Meal (60% CP) [Intermediate flows],
3,Input,,     160,[kg] Fish meal [Intermediate flows],
4,Input,,     110,[kg] Fish oil [Intermediate flows],
5,Input,,      40,[kg] Sunflower Meal (25-30% CP) [Intermediate flows],
6,Input,,      90,[kg] Wheat White Flour [Intermediate flows],
7,Input,,     257,[kg] Yeast protein concentrate [Intermediate flows],
8,Input,,      90,[kg] wheat gluten [Intermediate flows],
9,Output,X,     987,[kg] salmon feed pre-mill - yeast [Intermediate flows],
