Nation,Name,type,source,information,id
NO,pre-mill mix,u-so,NMBU,,{7016425f-92c9-4048-b6b0-c06e73fd8aeb}
US,Calysta bacterial meal,u-so,Calysta,,{9d936bc6-b835-4128-90d3-3ffe2bdfc7b1}
,Peroxitan,u-bb,German Fed Off. Envt,,{e2282665-c95a-413a-827d-b1e72a498e40}
,Wheat flour,u-bb,,,{502dc4ec-8136-42a0-a46b-3cb449ab670c}
DE,"Canola (rapeseed) oil, refined (economic allocation)",agg,ts,"technology mix|production mix, at plant|refined",{c59ec712-064c-42b4-bbae-8bf07f46b491}
NO,bacteria pre-mill mix,u-so,NMBU,,{578da6df-0495-43d6-aa57-921c61753b77}
NO,Salmon feed at mill_bacteria,u-so,,,{f4c2c1e5-2cb8-4418-bda8-703f5d8d552e}
NO,Yeast pre-mill mix (YPC),u-so,NMBU,,{96d33ada-593a-473f-941d-e0f97cedc02b}
,Maize gluten,agg,,,{1c65e9c6-0088-4753-b550-b7ce17438452}
,Sunflower meal,u-bb,Nilsson el al. 2000,,{1f163a68-1183-4765-b1bc-325046ee5fee}
NO,Salmon feed at mill_yeast,u-so,,,{e4671eb0-a34f-4ac2-be66-36f9ac1daf21}
,Soy protein concentrate,u-bb,,,{7f4629fc-23b1-4b91-9df4-fa7722c6e879}
NO,Salmon feed at mill,u-so,,,{33e21a25-db00-4d6a-b10d-0d3c196cd33e}
,Yeast protein concentrate,u-so,Tallentire,,{c77c0a9e-99e2-4ddb-b8c8-c6538dd1fec7}
CN,"electricity, high voltage, production mix",agg,ecoinvent 3.3,,{9df56643-d7fc-4671-87ff-b37e3463c420}
BR,"electricity, high voltage, production mix",agg,ecoinvent 3.3,,{084323ef-0e03-46d1-8296-86c643ffe2f6}
